,propertyCrimes,violentCrimes,zipcodes
501,15.4,8.7,85253
502,42.1,29.7,85254
503,25.0,8.9,85255
504,60.1,51.7,85256
505,43.5,20.7,85257
506,29.0,9.7,85258
507,27.5,9.4,85259
508,33.2,10.5,85260
509,22.6,8.5,85262
510,6.7,5.0,85263
511,60.2,52.7,85264
512,20.8,8.2,85266
513,22.7,15.7,85268
514,57.8,47.5,85281
515,56.9,44.9,85282
516,53.5,41.6,85283
517,23.6,13.1,85284
518,28.1,11.4,85286
519,19.9,9.3,85295
520,19.1,9.2,85296
521,18.6,9.0,85297
522,15.5,8.2,85298
523,85.3,65.8,85301
524,78.7,44.9,85302
525,77.7,42.9,85303
526,71.6,24.4,85304
527,74.1,30.4,85305
528,74.0,30.8,85306
529,59.2,44.2,85307
530,64.2,24.3,85308
531,36.4,26.3,85310
532,58.1,47.9,85323
533,47.3,41.7,85324
534,39.7,32.4,85326
535,53.3,47.9,85328
536,35.8,25.9,85331
537,48.0,39.3,85335
538,58.1,52.0,85337
539,30.5,22.8,85338
540,56.1,42.3,85339
541,29.5,21.5,85340
542,45.8,38.1,85343
543,43.7,37.1,85345
544,47.5,43.9,85350
545,29.8,22.8,85351
546,58.5,45.2,85353
547,23.8,17.3,85355
548,57.4,51.4,85363
549,23.9,16.7,85373
550,31.2,24.0,85374
551,20.3,13.7,85375
552,22.5,14.2,85377
553,28.7,21.3,85379
554,32.6,25.4,85381
555,32.4,25.5,85382
556,13.5,7.3,85383
557,16.8,10.1,85387
558,23.1,15.9,85388
559,42.5,31.6,85392
560,22.3,14.7,85395
561,19.6,12.5,85396
562,36.0,28.0,85541
563,89.4,67.9,85705
564,26.4,18.0,85718
565,37.7,31.9,85935
566,73.3,65.9,86016
567,53.8,43.4,86023
568,28.5,22.2,86336
569,61.7,59.9,87701
570,21.1,17.5,88113
571,25.8,10.5,89002
572,39.5,40.5,89004
573,33.1,27.3,89005
574,30.9,11.7,89011
575,26.9,10.7,89012
576,52.2,52.4,89013
577,41.7,24.3,89014
578,39.1,22.8,89015
579,56.2,58.2,89018
580,61.6,63.6,89019
581,19.4,13.3,89021
582,69.9,73.9,89030
583,37.7,46.6,89031
584,46.7,53.9,89032
585,43.2,44.4,89039
586,21.0,9.2,89044
587,40.7,34.7,89048
588,26.4,10.5,89052
589,38.8,34.5,89054
590,29.4,9.3,89074
591,46.2,53.3,89081
592,32.1,39.7,89084
593,23.6,29.0,89085
594,60.1,63.9,89086
595,73.3,72.3,89101
596,73.0,71.9,89102
597,60.0,54.4,89103
598,61.3,56.9,89104
599,72.6,71.5,89106
600,62.7,60.9,89107
601,64.8,62.6,89108
602,61.4,51.9,89109
603,58.1,56.6,89110
604,44.0,38.6,89113
605,69.9,66.0,89115
606,51.7,48.0,89117
607,54.6,48.7,89118
608,73.8,71.1,89119
609,56.4,50.9,89120
610,64.8,60.3,89121
611,51.8,44.6,89122
612,51.1,44.7,89123
613,22.3,21.1,89124
614,52.4,49.0,89128
615,44.2,41.1,89129
616,41.5,38.6,89130
617,34.4,32.3,89131
618,35.3,33.2,89134
619,27.4,20.7,89135
620,36.2,33.5,89138
621,38.3,32.5,89139
622,34.1,29.9,89141
623,53.5,49.3,89142
624,35.8,33.4,89143
625,39.8,36.9,89144
626,47.3,44.1,89145
627,59.1,55.9,89146
628,49.2,44.0,89147
629,44.4,38.7,89148
630,41.3,38.2,89149
631,53.8,49.8,89156
632,68.7,66.0,89161
633,43.2,39.5,89166
634,75.5,73.2,89169
635,34.7,30.5,89178
636,31.3,28.0,89179
637,56.9,51.0,89183
638,29.5,30.0,89412
639,18.5,13.0,89423
640,66.4,59.3,89502
641,69.4,61.5,90001
642,68.4,65.7,90037
643,56.2,39.2,91101
644,52.2,37.7,91205
645,42.3,34.3,91754
646,37.5,29.9,92008
647,40.1,30.8,92107
648,36.1,27.0,92591
649,50.7,50.1,92703
650,33.5,26.1,93013
651,59.9,49.8,93101
652,62.9,52.4,93612
653,32.9,24.5,94066
654,38.3,30.3,94085
655,37.0,22.5,94523
656,38.4,32.2,94531
657,21.9,14.7,94568
658,22.7,16.7,95037
659,42.9,36.3,95224
660,44.0,38.9,95966
661,35.8,30.4,95969
662,34.1,26.3,96746
663,25.5,15.4,98033
664,70.2,28.8,98112
665,32.4,22.7,98374
